scope,subset,config,family,k,stat,n,mae,bias,rel_mae_vs_no_adjustment,coef,gamma
player,season_2024-25,P3_comb_k80,P3_comb,80,PTS,4774.0,5.6420650046728404,-0.7377843465464303,0.9902808272849857,,
player,season_2024-25,P3_comb_k80,P3_comb,80,AST,4774.0,1.6872854520044915,-0.21671361446174595,0.9965331930173343,,
player,season_2024-25,P3_comb_k80,P3_comb,80,REB,4774.0,2.0500554297950497,-0.15455717000719385,0.9969133738324447,,
player,season_2024-25,P3_comb_k80,P3_comb,80,STL,4774.0,0.8202441374771144,-0.12689633834757477,0.9900948331962199,,
player,season_2024-25,P3_comb_k80,P3_comb,80,BLK,4774.0,0.5567304889463143,-0.10673797438306873,0.9710748570780167,,
player,season_2024-25,P3_comb_k80,P3_comb,80,FG3M,4774.0,1.1253154648947632,-0.14818629215121543,0.9993556123363679,,
player,season_2024-25,P3_comb_k80,P3_comb,80,TOV,4774.0,1.082464374668298,-0.12569065978818977,0.9994803176463731,,
player,season_2024-25,P3_comb_k80,P3_comb,80,FG3A,4774.0,1.8324680410323164,-0.21403247992290597,0.9982659474829368,,
player,season_2024-25,P3_comb_k80,P3_comb,80,OREB,4774.0,0.9055137435348307,-0.11944632880636054,0.9979422286489212,,
player,season_2024-25,P3_comb_k80,P3_comb,80,POOLED,4774.0,,,0.9933267989470667,,
player,season_2024-25,P3_comb_k160,P3_comb,160,PTS,4774.0,5.648313498766514,-0.7819296553556301,0.9913775469958086,,
player,season_2024-25,P3_comb_k160,P3_comb,160,AST,4774.0,1.6886216213499274,-0.19904879277996454,0.9973223523754248,,
player,season_2024-25,P3_comb_k160,P3_comb,160,REB,4774.0,2.0525829746778173,-0.16613411005200576,0.9981424836701454,,
player,season_2024-25,P3_comb_k160,P3_comb,160,STL,4774.0,0.8206053976429559,-0.1300088566569386,0.9905309007123371,,
player,season_2024-25,P3_comb_k160,P3_comb,160,BLK,4774.0,0.5561651674302425,-0.10952342478397618,0.9700887973573401,,
player,season_2024-25,P3_comb_k160,P3_comb,160,FG3M,4774.0,1.1250889230773882,-0.15736079344814155,0.9991544280074528,,
player,season_2024-25,P3_comb_k160,P3_comb,160,TOV,4774.0,1.082279116164034,-0.13313045702246235,0.9993092614591934,,
player,season_2024-25,P3_comb_k160,P3_comb,160,FG3A,4774.0,1.8328321857486891,-0.2334586353760772,0.9984643210764571,,
player,season_2024-25,P3_comb_k160,P3_comb,160,OREB,4774.0,0.9054533525327949,-0.11882800916753489,0.9978756733574171,,
player,season_2024-25,P3_comb_k160,P3_comb,160,POOLED,4774.0,,,0.9935850850012864,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,PTS,4774.0,5.657696339277928,-0.8324528356965368,0.9930243991778076,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,AST,4774.0,1.691124583041404,-0.20905572499131583,0.9988006347866456,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,REB,4774.0,2.0574121359450217,-0.15214043355397794,1.000490837466682,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,STL,4774.0,0.8213777256396808,-0.13059819846502174,0.9914631572493262,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,BLK,4774.0,0.55597053322345,-0.1060253527040921,0.9697493074456215,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,FG3M,4774.0,1.12509171629597,-0.15394769396276195,0.9991569085729061,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,TOV,4774.0,1.082142527848553,-0.12880558410723597,0.9991831442990001,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,FG3A,4774.0,1.8336151840594226,-0.25644641634457505,0.9988908717900519,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,OREB,4774.0,0.9055911741079288,-0.12638403687679567,0.9980275627912628,,
player,season_2024-25,P3_comb_kinf,P3_comb,inf,POOLED,4774.0,,,0.9943096470643671,,
player,season_2024-25,P3_comb_kpick,P3_comb,pick,PTS,4774.0,5.6420650046728404,-0.7377843465464303,0.9902808272849857,,
player,season_2024-25,P3_comb_kpick,P3_comb,pick,AST,4774.0,1.6872854520044915,-0.21671361446174595,0.9965331930173343,,
player,season_2024-25,P3_comb_kpick,P3_comb,pick,REB,4774.0,2.0500554297950497,-0.15455717000719385,0.9969133738324447,,
